FRANKLIN%2005/07/25 0300%30.9%-71.6%46
FRANKLIN%2005/07/25 0900%30.8%-70.3%40
FRANKLIN%2005/07/25 1500%31.1%-69.6%40
FRANKLIN%2005/07/25 2100%30.7%-69.5%40
FRANKLIN%2005/07/26 0300%30.7%-68.2%40
FRANKLIN%2005/07/26 0900%31.3%-68.0%40
FRANKLIN%2005/07/26 1500%32.0%-67.9%40
FRANKLIN%2005/07/26 2100%32.3%-68.2%40
FRANKLIN%2005/07/27 0300%32.4%-68.6%40
FRANKLIN%2005/07/27 0900%33.1%-68.8%40
FRANKLIN%2005/07/27 1500%33.4%-69.2%46
FRANKLIN%2005/07/27 2100%33.9%-69.3%51
FRANKLIN%2005/07/28 0300%34.3%-69.4%51
FRANKLIN%2005/07/28 0900%35.5%-69.2%51
FRANKLIN%2005/07/28 1500%36.2%-69.0%51
FRANKLIN%2005/07/28 2100%37.6%-67.5%57
FRANKLIN%2005/07/29 0300%38.9%-66.0%57
FRANKLIN%2005/07/29 0900%40.3%-63.8%57
FRANKLIN%2005/07/29 1500%41.4%-61.8%51
FRANKLIN%2005/07/29 2100%42.8%-58.9%40
GERT%2005/07/23 2100%19.4%-93.2%28
GERT%2005/07/24 0300%19.7%-94.1%34
GERT%2005/07/24 0600%19.8%-94.7%40
GERT%2005/07/24 0900%21.0%-95.4%40
GERT%2005/07/24 1500%21.1%-96.2%40
GERT%2005/07/24 2100%21.6%-97.1%40
GERT%2005/07/25 0300%22.0%-98.1%46
GERT%2005/07/25 0900%22.4%-99.1%34
GERT%2005/07/25 1500%22.6%-100.6%28
HARVEY%2005/08/02 2100%28.5%-68.7%34
HARVEY%2005/08/03 0300%29.4%-68.5%34
HARVEY%2005/08/03 0900%29.9%-68.5%34
HARVEY%2005/08/03 1500%30.8%-68.0%40
HARVEY%2005/08/03 1800%30.9%-67.7%57
HARVEY%2005/08/03 2100%31.1%-67.2%57
HARVEY%2005/08/04 0300%31.5%-65.8%57
HARVEY%2005/08/04 0900%31.8%-64.6%57
HARVEY%2005/08/04 1500%32.0%-63.1%63
HARVEY%2005/08/04 2100%32.4%-61.8%63
HARVEY%2005/08/05 0300%32.5%-60.1%63
HARVEY%2005/08/05 0900%32.5%-59.0%63
HARVEY%2005/08/05 1500%32.4%-58.2%57
HARVEY%2005/08/05 2100%32.6%-57.4%51
HARVEY%2005/08/06 0300%32.4%-57.0%51
HARVEY%2005/08/06 0900%33.3%-56.6%51
HARVEY%2005/08/06 1500%33.9%-56.5%57
HARVEY%2005/08/06 2100%33.7%-56.0%57
HARVEY%2005/08/07 0300%34.4%-55.0%57
HARVEY%2005/08/07 0900%35.4%-54.6%57
HARVEY%2005/08/07 1500%35.8%-53.5%51
HARVEY%2005/08/07 2100%37.0%-52.6%51
HARVEY%2005/08/08 0300%37.8%-51.5%51
HARVEY%2005/08/08 0900%38.9%-50.3%51
HARVEY%2005/08/08 1500%40.3%-47.1%51
HARVEY%2005/08/08 2100%40.8%-46.1%51
IRENE%2005/08/04 2100%12.7%-34.5%28
IRENE%2005/08/05 0300%13.0%-35.2%28
IRENE%2005/08/05 0900%14.4%-36.1%28
IRENE%2005/08/05 1500%16.4%-37.3%28
IRENE%2005/08/05 2100%17.0%-39.1%28
IRENE%2005/08/06 0300%17.6%-40.6%28
IRENE%2005/08/06 0900%17.7%-41.7%34
IRENE%2005/08/06 1500%17.9%-42.3%34
IRENE%2005/08/06 2100%19.0%-43.2%34
IRENE%2005/08/07 0300%18.9%-44.3%34
IRENE%2005/08/07 0900%19.6%-44.7%34
IRENE%2005/08/07 1500%20.5%-45.5%40
IRENE%2005/08/07 2100%21.1%-46.5%40
IRENE%2005/08/08 0300%21.5%-47.7%40
IRENE%2005/08/08 0900%21.9%-48.9%40
IRENE%2005/08/08 1500%22.4%-50.7%34
IRENE%2005/08/08 2100%22.5%-51.5%34
IRENE%2005/08/09 0300%22.6%-52.7%34
IRENE%2005/08/09 0900%22.5%-53.6%34
IRENE%2005/08/09 1500%22.3%-53.9%34
IRENE%2005/08/09 2100%22.6%-54.4%34
IRENE%2005/08/10 0300%22.4%-55.5%34
IRENE%2005/08/10 0900%22.4%-57.3%28
IRENE%2005/08/10 1500%22.4%-57.7%34
IRENE%2005/08/10 2100%22.8%-58.8%34
IRENE%2005/08/11 0300%23.5%-59.8%40
IRENE%2005/08/11 0900%24.2%-61.0%40
IRENE%2005/08/11 1500%25.1%-62.6%51
IRENE%2005/08/11 2100%25.7%-63.9%51
IRENE%2005/08/12 0300%26.4%-64.9%51
IRENE%2005/08/12 0900%27.6%-65.4%57
IRENE%2005/08/12 1500%28.3%-66.8%63
IRENE%2005/08/12 2100%28.7%-67.5%69
IRENE%2005/08/13 0300%29.2%-68.3%69
